ip_proto,tp_src,tp_dst,packet_count,byte_count,duration_sec,packet_count_per_sec,byte_count_per_sec,packet_size_avg,flow_duration,label
1,0,0,1,98,43,0.023,2.2511,98.0,43.535,1
1,0,0,1,98,43,0.023,2.2513,98.0,43.531,1
6,33364,5001,6435040,285247269696,41,155150.9307,6877405480.1813,44327.1945,41.476,1
6,47966,80,0,0,41,0.0,0.0,0.0,41.473,1
1,0,0,1,98,43,0.0229,2.2487,98.0,43.58,1
1,0,0,1,98,43,0.0229,2.249,98.0,43.575,1
1,0,0,1,98,43,0.023,2.2493,98.0,43.57,1
1,0,0,2,196,43,0.0459,4.4999,98.0,43.557,1
1,0,0,1,98,43,0.023,2.2501,98.0,43.553,1
1,0,0,1,98,43,0.023,2.2504,98.0,43.548,1
1,0,0,2,196,43,0.0459,4.5017,98.0,43.539,1
1,0,0,1,98,43,0.023,2.2511,98.0,43.535,1
1,0,0,1,98,43,0.023,2.2513,98.0,43.531,1
1,0,0,1,98,43,0.023,2.2518,98.0,43.521,1
1,0,0,1,98,43,0.023,2.2519,98.0,43.518,1
1,0,0,1,98,43,0.023,2.2526,98.0,43.506,1
1,0,0,2,196,48,0.0412,4.0339,98.0,48.588,1
1,0,0,1,98,48,0.0206,2.0171,98.0,48.584,1
1,0,0,1,98,48,0.0206,2.0173,98.0,48.58,1
1,0,0,1,98,48,0.0206,2.0175,98.0,48.576,1
1,0,0,1,98,48,0.0206,2.0177,98.0,48.57,1
1,0,0,1,98,48,0.0206,2.018,98.0,48.562,1
1,0,0,1,98,48,0.0206,2.0182,98.0,48.558,1
1,0,0,1,98,48,0.0206,2.0184,98.0,48.553,1
1,0,0,1,98,48,0.0206,2.0186,98.0,48.549,1
1,0,0,1,98,48,0.0206,2.019,98.0,48.539,1
1,0,0,1,98,48,0.0206,2.0192,98.0,48.535,1
1,0,0,1,98,48,0.0206,2.0193,98.0,48.531,1
6,33364,5001,6435040,285247269696,46,138459.4199,6137517636.9739,44327.1945,46.476,1
6,47966,80,0,0,46,0.0,0.0,0.0,46.473,1
1,0,0,1,98,48,0.0206,2.0173,98.0,48.58,1
1,0,0,1,98,48,0.0206,2.0175,98.0,48.575,1
1,0,0,1,98,48,0.0206,2.0177,98.0,48.57,1
1,0,0,2,196,48,0.0412,4.0365,98.0,48.557,1
1,0,0,1,98,48,0.0206,2.0184,98.0,48.553,1
