ip_proto,tp_src,tp_dst,packet_count,byte_count,duration_sec,packet_count_per_sec,byte_count_per_sec,packet_size_avg,flow_duration,label
6,56272,10379,0,0,10,0.0,0.0,0.0,10.191,2
6,56272,7219,0,0,14,0.0,0.0,0.0,14.9,2
6,56272,45933,0,0,0,0.0,0.0,0.0,0.477,2
6,56272,65277,0,0,10,0.0,0.0,0.0,10.625,2
6,56272,20929,0,0,0,0.0,0.0,0.0,0.279,2
6,56272,201,0,0,20,0.0,0.0,0.0,20.62,2
6,56272,21289,0,0,10,0.0,0.0,0.0,10.572,2
6,56272,44278,0,0,20,0.0,0.0,0.0,20.422,2
6,56272,23864,0,0,0,0.0,0.0,0.0,0.025,2
6,56272,31357,0,0,0,0.0,0.0,0.0,0.389,2
6,56272,26198,0,0,10,0.0,0.0,0.0,10.582,2
6,56272,6285,0,0,10,0.0,0.0,0.0,10.316,2
6,56272,48383,0,0,10,0.0,0.0,0.0,10.002,2
6,56272,46983,0,0,15,0.0,0.0,0.0,15.317,2
6,56272,47285,0,0,0,0.0,0.0,0.0,0.404,2
6,56272,30226,0,0,15,0.0,0.0,0.0,15.058,2
6,56274,16062,0,0,1,0.0,0.0,0.0,1.516,2
6,56272,21677,0,0,0,0.0,0.0,0.0,0.035,2
6,56272,16168,0,0,0,0.0,0.0,0.0,0.186,2
6,56272,2299,0,0,20,0.0,0.0,0.0,20.157,2
1,0,0,1,98,38,0.0259,2.5422,98.0,38.549,1
6,56272,32377,0,0,5,0.0,0.0,0.0,5.119,2
17,11748,1900,2955994,3984679912,37,79824.69152126058,107603684.17065926,1348.0,37.031073264,0
6,56272,39099,0,0,15,0.0,0.0,0.0,15.12,2
6,14727,443,2980098,154965096,48,60966.63544612836,3170265.0431986745,52.0,48.880801412,0
6,56272,41585,0,0,5,0.0,0.0,0.0,5.338,2
6,56272,53,0,0,15,0.0,0.0,0.0,15.672,2
6,56272,40898,0,0,10,0.0,0.0,0.0,10.298,2
6,56272,42941,0,0,15,0.0,0.0,0.0,15.136,2
6,56272,23841,0,0,0,0.0,0.0,0.0,0.207,2
6,56274,1042,0,0,1,0.0,0.0,0.0,1.569,2
6,56272,17772,1,58,0,1.6835,97.6431,58.0,0.594,2
6,56272,44645,0,0,5,0.0,0.0,0.0,5.637,2
17,23066,161,1586205,1997032095,60,26096.142276353334,32855043.125928845,1259.0,60.783122011,0
6,56272,34916,0,0,10,0.0,0.0,0.0,10.264,2
6,56272,42898,0,0,10,0.0,0.0,0.0,10.467,2
6,56272,48450,0,0,0,0.0,0.0,0.0,0.554,2
6,56272,33934,0,0,15,0.0,0.0,0.0,15.488,2
6,56272,55195,0,0,10,0.0,0.0,0.0,10.459,2
6,56272,3890,0,0,10,0.0,0.0,0.0,10.121,2
6,56272,34529,0,0,15,0.0,0.0,0.0,15.288,2
6,56272,50511,0,0,10,0.0,0.0,0.0,10.04,2
6,56272,43156,0,0,0,0.0,0.0,0.0,0.131,2
6,56272,53265,0,0,0,0.0,0.0,0.0,0.207,2
6,56272,25107,0,0,0,0.0,0.0,0.0,0.532,2
6,56272,48460,0,0,15,0.0,0.0,0.0,15.458,2
6,56272,24119,0,0,20,0.0,0.0,0.0,20.385,2
6,56272,22442,0,0,15,0.0,0.0,0.0,15.43,2
6,56272,25301,0,0,0,0.0,0.0,0.0,0.25,2
6,56272,55177,0,0,15,0.0,0.0,0.0,15.48,2
6,56272,33973,0,0,0,0.0,0.0,0.0,0.568,2
6,56272,7909,0,0,0,0.0,0.0,0.0,0.449,2
6,28275,80,5872184,246631728,74,79304.36980493176,3330783.531807134,42.0,74.046159303,0
6,56272,14636,0,0,5,0.0,0.0,0.0,5.188,2
6,56272,22889,0,0,5,0.0,0.0,0.0,5.612,2
6,56272,34288,0,0,15,0.0,0.0,0.0,15.375,2
6,56272,52996,0,0,5,0.0,0.0,0.0,5.226,2
6,56272,36195,0,0,15,0.0,0.0,0.0,15.54,2
6,56272,11862,0,0,15,0.0,0.0,0.0,15.362,2
6,56272,37275,0,0,10,0.0,0.0,0.0,10.407,2
6,56272,13286,0,0,0,0.0,0.0,0.0,0.445,2
6,56272,20279,0,0,15,0.0,0.0,0.0,15.116,2
6,56272,57570,0,0,15,0.0,0.0,0.0,15.358,2
6,56272,58814,0,0,0,0.0,0.0,0.0,0.285,2
6,56272,63804,0,0,15,0.0,0.0,0.0,15.336,2
6,56272,60614,0,0,15,0.0,0.0,0.0,15.179,2
6,56272,59012,0,0,20,0.0,0.0,0.0,20.508,2
6,56272,52734,0,0,0,0.0,0.0,0.0,0.282,2
17,59620,1900,4271774,4100903040,44,96159.2059526188,92312837.71451405,960.0,44.423973323,0
6,56272,35733,0,0,0,0.0,0.0,0.0,0.405,2
1,0,0,1,98,3,0.2854,27.968,98.0,3.504,1
6,56272,10019,0,0,10,0.0,0.0,0.0,10.523,2
6,56272,40174,0,0,10,0.0,0.0,0.0,10.651,2
6,56272,50642,0,0,10,0.0,0.0,0.0,10.401,2
6,56272,42182,0,0,15,0.0,0.0,0.0,15.557,2
6,56272,17343,0,0,15,0.0,0.0,0.0,15.657,2
6,56272,46479,0,0,15,0.0,0.0,0.0,15.605,2
6,56272,1720,1,58,10,0.0938,5.4383,58.0,10.665,2
6,56272,23943,0,0,5,0.0,0.0,0.0,5.524,2
6,56272,40989,0,0,20,0.0,0.0,0.0,20.494,2
1,0,0,5527580,370347860,73,74756.3425409667,5008674.9502447685,67.0,73.941284607,0
6,56272,27164,0,0,5,0.0,0.0,0.0,5.468,2
6,56272,30570,0,0,15,0.0,0.0,0.0,15.508,2
6,56272,58093,0,0,0,0.0,0.0,0.0,0.497,2
6,56272,10846,0,0,5,0.0,0.0,0.0,5.535,2
6,56272,35093,0,0,15,0.0,0.0,0.0,15.181,2
6,56272,36504,0,0,10,0.0,0.0,0.0,10.394,2
6,56272,57135,0,0,0,0.0,0.0,0.0,0.641,2
6,56272,56998,0,0,0,0.0,0.0,0.0,0.106,2
6,56272,2577,0,0,20,0.0,0.0,0.0,20.205,2
6,56272,42672,0,0,20,0.0,0.0,0.0,20.243,2
6,56272,60690,0,0,15,0.0,0.0,0.0,15.524,2
6,56272,22695,0,0,0,0.0,0.0,0.0,0.515,2
6,56272,20456,0,0,10,0.0,0.0,0.0,10.17,2
6,56272,41585,0,0,20,0.0,0.0,0.0,20.349,2
6,56272,51164,0,0,0,0.0,0.0,0.0,0.019,2
6,56272,63548,0,0,5,0.0,0.0,0.0,5.248,2
6,56272,16705,0,0,0,0.0,0.0,0.0,0.111,2
6,56272,40998,0,0,5,0.0,0.0,0.0,5.0,2
6,56272,59136,0,0,4,0.0,0.0,0.0,4.874,2
1,0,0,2864749,217720924,7,371471.7199959086,28231850.719689056,76.0,7.711889885,0
6,56272,47759,0,0,5,0.0,0.0,0.0,5.25,2
6,56272,3621,0,0,0,0.0,0.0,0.0,0.608,2
6,56272,56641,0,0,5,0.0,0.0,0.0,5.635,2
6,56272,17828,0,0,10,0.0,0.0,0.0,10.467,2
6,56272,51317,0,0,15,0.0,0.0,0.0,15.18,2
6,56272,46029,0,0,15,0.0,0.0,0.0,15.638,2
6,56272,53229,0,0,0,0.0,0.0,0.0,0.554,2
6,56272,54148,0,0,10,0.0,0.0,0.0,10.267,2
6,56272,33740,0,0,10,0.0,0.0,0.0,10.007,2
6,56272,9163,0,0,15,0.0,0.0,0.0,15.168,2
