protocol,model,fold,heldout_scenario,heldout_label,n_test_snapshots,accuracy,precision_anomaly,recall_anomaly,f1_anomaly,false_positive_rate_normal
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,16,portscan_syn_h4_h1_p1_128_r80,portscan,4464,0.5452508960573477,1.0,0.5452508960573477,0.7057118005218904,
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,16,portscan_syn_h4_h1_p1_128_r80,portscan,4464,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,16,portscan_syn_h4_h1_p1_128_r80,portscan,4464,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,17,portscan_syn_h5_h2_top20_r40,portscan,132,0.8484848484848485,1.0,0.8484848484848485,0.918032786885246,
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,17,portscan_syn_h5_h2_top20_r40,portscan,132,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348,
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,17,portscan_syn_h5_h2_top20_r40,portscan,132,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,17,portscan_syn_h5_h2_top20_r40,portscan,132,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,18,portscan_syn_h5_h3_p1_96_r90,portscan,1002,0.6936127744510978,1.0,0.6936127744510978,0.8190925162050677,
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,18,portscan_syn_h5_h3_p1_96_r90,portscan,1002,0.7015968063872255,1.0,0.7015968063872255,0.8246334310850439,
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,18,portscan_syn_h5_h3_p1_96_r90,portscan,1002,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,18,portscan_syn_h5_h3_p1_96_r90,portscan,1002,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,19,portscan_syn_h5h6_h1h3_p1_64_r50,portscan,3072,0.7708333333333334,1.0,0.7708333333333334,0.8705882352941177,
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,19,portscan_syn_h5h6_h1h3_p1_64_r50,portscan,3072,0.7926432291666666,1.0,0.7926432291666666,0.884329035772653,
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,19,portscan_syn_h5h6_h1h3_p1_64_r50,portscan,3072,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,19,portscan_syn_h5h6_h1h3_p1_64_r50,portscan,3072,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,RandomForest,20,portscan_syn_h6_h1_p200_320_r70,portscan,3120,0.6762820512820513,1.0,0.6762820512820513,0.8068833652007649,
LOSO_scenario_early_binary_no_ports_no_smote,XGBoost,20,portscan_syn_h6_h1_p200_320_r70,portscan,3120,0.6442307692307693,1.0,0.6442307692307693,0.783625730994152,
LOSO_scenario_early_binary_no_ports_no_smote,IsolationForest,20,portscan_syn_h6_h1_p200_320_r70,portscan,3120,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,Autoencoder,20,portscan_syn_h6_h1_p200_320_r70,portscan,3120,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,0,ddos_icmp_multi_h4h6_h1h3,ddos,4268,0.8570759137769447,1.0,0.8570759137769447,0.9230381024476407,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,1,ddos_syn_multi_h4h5_h1h2,ddos,10859,0.560548853485588,1.0,0.560548853485588,0.7183996223297533,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,2,ddos_syn_multiport_h4_h1,ddos,20547,0.9999513310945637,1.0,0.9999513310945637,0.9999756649551018,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,3,ddos_syn_multiport_multi_h4h6_h1h3,ddos,20617,0.65315031284862,1.0,0.65315031284862,0.790188657101781,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,4,ddos_syn_single_h4_h1,ddos,12769,1.0,1.0,1.0,1.0,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,5,ddos_syn_slow_h4_h2,ddos,5206,1.0,1.0,1.0,1.0,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,6,ddos_udp_h5_h1,ddos,5675,0.677533039647577,1.0,0.677533039647577,0.8077731092436975,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,7,ddos_udp_multi_h5h6_h2h3,ddos,5284,0.9931869795609387,1.0,0.9931869795609387,0.9965818458032663,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,8,ddos_udp_multiport_h5_h2,ddos,2412,1.0,1.0,1.0,1.0,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,9,normal_mesh_ping_iperf_http_a,normal,39821,0.4386881293789709,0.0,0.0,0.0,0.561311870621029
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,10,normal_mesh_ping_iperf_http_b,normal,43721,0.7317078749342422,0.0,0.0,0.0,0.2682921250657579
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,11,normal_mesh_udp_tcp_c,normal,19909,0.8205334270932744,0.0,0.0,0.0,0.1794665729067256
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,12,normal_ping_iperf_light,normal,201,0.8606965174129353,0.0,0.0,0.0,0.13930348258706468
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,13,portscan_connect_h6_h3_p20_120_r60,portscan,3042,1.0,1.0,1.0,1.0,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,14,portscan_nmap_h4_h1,portscan,149,0.0,0.0,0.0,0.0,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,15,portscan_nmap_h5_h2,portscan,4734,1.0,1.0,1.0,1.0,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,16,portscan_syn_h4_h1_p1_128_r80,portscan,4464,0.8738799283154122,1.0,0.8738799283154122,0.9326957561267185,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,17,portscan_syn_h5_h2_top20_r40,portscan,132,0.9166666666666666,1.0,0.9166666666666666,0.9565217391304348,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,18,portscan_syn_h5_h3_p1_96_r90,portscan,1002,1.0,1.0,1.0,1.0,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,19,portscan_syn_h5h6_h1h3_p1_64_r50,portscan,3072,0.9583333333333334,1.0,0.9583333333333334,0.9787234042553191,
LOSO_scenario_early_binary_no_ports_no_smote,LinearSVC,20,portscan_syn_h6_h1_p200_320_r70,portscan,3120,0.9996794871794872,1.0,0.9996794871794872,0.9998397179035102,
