protocol,feature_set,model,fold,heldout_scenario,heldout_label,n_test_tuples,n_test_runs,n_test_labels,accuracy,f1_macro,recall_heldout_label,support_ddos,recall_ddos,support_normal,recall_normal,support_portscan,recall_portscan
leave_one_scenario_out,no_raw_ports,XGBoost,11,normal_mesh_udp_tcp_c,normal,7565,44,1,0.8831460674157303,0.3126491646778043,0.8831460674157303,0,,7565,0.8831460674157303,0,
leave_one_scenario_out,no_raw_ports,RandomForest,12,normal_ping_iperf_light,normal,67,3,1,1.0,0.3333333333333333,1.0,0,,67,1.0,0,
leave_one_scenario_out,no_raw_ports,XGBoost,12,normal_ping_iperf_light,normal,67,3,1,1.0,0.3333333333333333,1.0,0,,67,1.0,0,
leave_one_scenario_out,no_raw_ports,RandomForest,13,portscan_connect_h6_h3_p20_120_r60,portscan,1014,5,1,0.8816568047337278,0.31236897274633124,0.8816568047337278,0,,0,,1014,0.8816568047337278
leave_one_scenario_out,no_raw_ports,XGBoost,13,portscan_connect_h6_h3_p20_120_r60,portscan,1014,5,1,0.8510848126232742,0.3065174924524951,0.8510848126232742,0,,0,,1014,0.8510848126232742
leave_one_scenario_out,no_raw_ports,RandomForest,14,portscan_nmap_h4_h1,portscan,67,3,1,0.0,0.0,0.0,0,,0,,67,0.0
leave_one_scenario_out,no_raw_ports,XGBoost,14,portscan_nmap_h4_h1,portscan,67,3,1,0.0,0.0,0.0,0,,0,,67,0.0
leave_one_scenario_out,no_raw_ports,RandomForest,15,portscan_nmap_h5_h2,portscan,1578,3,1,0.9936628643852978,0.33227378681924136,0.9936628643852978,0,,0,,1578,0.9936628643852978
leave_one_scenario_out,no_raw_ports,XGBoost,15,portscan_nmap_h5_h2,portscan,1578,3,1,0.9904942965779467,0.3317414836039478,0.9904942965779467,0,,0,,1578,0.9904942965779467
leave_one_scenario_out,no_raw_ports,RandomForest,16,portscan_syn_h4_h1_p1_128_r80,portscan,1604,5,1,0.8435162094763092,0.30503889076766993,0.8435162094763092,0,,0,,1604,0.8435162094763092
leave_one_scenario_out,no_raw_ports,XGBoost,16,portscan_syn_h4_h1_p1_128_r80,portscan,1604,5,1,0.5810473815461347,0.24500525762355416,0.5810473815461347,0,,0,,1604,0.5810473815461347
leave_one_scenario_out,no_raw_ports,RandomForest,17,portscan_syn_h5_h2_top20_r40,portscan,44,2,1,1.0,0.3333333333333333,1.0,0,,0,,44,1.0
leave_one_scenario_out,no_raw_ports,XGBoost,17,portscan_syn_h5_h2_top20_r40,portscan,44,2,1,1.0,0.3333333333333333,1.0,0,,0,,44,1.0
leave_one_scenario_out,no_raw_ports,RandomForest,18,portscan_syn_h5_h3_p1_96_r90,portscan,334,1,1,0.0029940119760479044,0.001990049751243781,0.0029940119760479044,0,,0,,334,0.0029940119760479044
leave_one_scenario_out,no_raw_ports,XGBoost,18,portscan_syn_h5_h3_p1_96_r90,portscan,334,1,1,0.0,0.0,0.0,0,,0,,334,0.0
leave_one_scenario_out,no_raw_ports,RandomForest,19,portscan_syn_h5h6_h1h3_p1_64_r50,portscan,1024,4,1,0.9150390625,0.31854496005439403,0.9150390625,0,,0,,1024,0.9150390625
leave_one_scenario_out,no_raw_ports,XGBoost,19,portscan_syn_h5h6_h1h3_p1_64_r50,portscan,1024,4,1,0.68359375,0.27068832173240526,0.68359375,0,,0,,1024,0.68359375
leave_one_scenario_out,no_raw_ports,RandomForest,20,portscan_syn_h6_h1_p200_320_r70,portscan,1200,4,1,0.44666666666666666,0.20583717357910905,0.44666666666666666,0,,0,,1200,0.44666666666666666
leave_one_scenario_out,no_raw_ports,XGBoost,20,portscan_syn_h6_h1_p200_320_r70,portscan,1200,4,1,0.44333333333333336,0.20477290223248654,0.44333333333333336,0,,0,,1200,0.44333333333333336
